Object Name,Time (mm:ss.ssss),Path Offset,Bone Name,Rotation (X),Rotation (Y),Rotation (Z)
remy_02,00:00.0.033,84.8,,,,
remy_02,00:04.0.466,131.8213,,,,
remy_02,00:05.0.300,145.2513,,,,
remy_02,00:06.0.033,156.3,,,,
remy_02,00:08.0.100,177.7296,,,,
remy_02,00:13.0.233,199.9,,,,
remy_02,00:18.0.400,212.9,,,,
remy_02,00:23.0.300,214.8479,,,,
remy_02,00:25.0.400,216.1803,,,,
remy_02,00:27.0.533,218.4,,,,
remy_02,00:44.0.200,281.2,,,,
remy_02,01:20.0.333,281.2,,,,
remy_02,01:25.0.400,298.0174,,,,
remy_02,01:42.0.733,379.2,,,,
remy_02,01:45.0.633,389.3844,,,,
remy_02,01:49.0.466,403.1809,,,,
remy_02,01:56.0.133,439.0,,,,
remy_02,02:03.0.700,485.7599,,,,
remy_02,02:05.0.600,485.7599,,,,
remy_02,02:17.0.033,546.1,,,,
remy_02,02:20.0.900,546.1,,,,
remy_02,02:27.0.466,567.64,,,,
remy_02,02:39.0.766,567.64,,,,
remy_02,02:54.0.633,642.62,,,,
remy_02,03:06.0.300,642.62,,,,
remy_02,03:13.0.300,665.39,,,,
remy_02,03:22.0.233,694.09,,,,
remy_02,03:23.0.866,694.09,,,,
remy_02,03:37.0.133,772.55,,,,
remy_02,03:51.0.400,772.55,,,,
remy_02,03:59.0.566,817.05,,,,
remy_02,04:14.0.933,817.05,,,,
remy_02,04:30.0.066,863.7501,,,,
remy_02,04:42.0.166,863.7501,,,,
remy_02,04:55.0.200,926.7501,,,,
Armature,03:12.0.666,,Bone.002,1.0,0.0,-0.0
Armature,03:12.0.666,,Bone.002,0.9986,0.0,0.0521
Armature,03:12.0.666,,Bone.002,0.994,0.0,0.1089
Armature,03:12.0.666,,Bone.002,0.9703,0.0,0.2418
Armature,03:12.0.666,,Bone.002,0.9365,0.0001,0.3507
Armature,03:12.0.666,,Bone.002,0.8801,0.0001,0.4748
Armature,03:12.0.666,,Bone.002,0.915,0.0001,0.4035
Armature,03:12.0.666,,Bone.002,0.9893,0.0,0.1461
Armature,03:12.0.666,,Bone.002,0.9708,0.0,0.2397
Armature,03:12.0.666,,Bone.002,0.9157,0.0001,0.4018
Armature,03:12.0.666,,Bone.002,0.9387,0.0001,0.3448
Armature,03:12.0.666,,Bone.002,0.9952,-0.0,0.0983
Armature,03:12.0.666,,Bone.002,1.0,-0.0001,0.0082
Armature,03:12.0.666,,Bone.002,1.0,-0.0001,0.0082
Armature,03:12.0.666,,Bone.002,0.9979,-0.0001,-0.0648
Armature,03:12.0.666,,Bone.002,0.9979,-0.0001,-0.0648
Armature,03:12.0.666,,Bone.002,0.9967,-0.0001,-0.0817
Armature,03:12.0.666,,Bone.002,0.9937,-0.0001,-0.1123
Armature,03:12.0.666,,Bone.002,0.6173,-0.0003,-0.7867
Armature,03:12.0.666,,Bone.002,0.2339,-0.0004,-0.9723
Armature,03:12.0.666,,Bone.002,0.0371,-0.0004,-0.9993
Armature,03:12.0.666,,Bone.002,0.0115,-0.0004,-0.9999
Armature,03:12.0.666,,Bone.002,0.0254,-0.0004,-0.9997
Armature,03:12.0.666,,Bone.002,0.0254,-0.0004,-0.9997
Armature,03:12.0.666,,Bone.002,-0.083,-0.0004,-0.9965
Armature,03:12.0.666,,Bone.002,-0.1383,-0.0004,-0.9904
Armature,03:12.0.666,,Bone.002,-0.9411,-0.0001,-0.3382
Armature,03:12.0.666,,Bone.002,-0.9935,0.0,-0.1142
Armature,03:12.0.666,,Bone.002,-0.9915,0.0,-0.1298
Armature,03:12.0.666,,Bone.002,-0.9914,-0.0,-0.1309
Armature,03:12.0.666,,Bone.002,-0.9687,-0.0002,-0.2481
